Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1557161537621569536,Last shade of Atomic Shake Lip Lacquer left! Red Coral Shine ❤️ https://t.co/dILqA5xn8K https://t.co/GsLpcysaAl,Lady Gaga,ladygaga,2022-08-10T00:26:55.000Z,Wed Aug 10 00:26:55 +0000 2022,11154,1011,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://bit.ly/3d3FZrz ,0,0,video,https://video.twimg.com/ext_tw_video/1557161471645126656/pu/pl/8lz_P2TLmj5j9qQU.m3u8?tag=12&container=fmp4,,,
1556365963783802886,"RT @GMA : A lipstick from Lady Gaga's beauty brand Haus Labs is taking TikTok by storm.

https://t.co/qwyd3f9S2T",Lady Gaga,ladygaga,2022-08-07T19:45:36.000Z,Sun Aug 07 19:45:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://gma.abc/3vM53Ki ,0,0,,,,,
1555601635417546752,RT @hauslabs : ❤️⏰ MAJOR NEWS ⏰❤️ Online only: ATOMIC SHAKE LIP LACQUER IS BACK IN STOCK AT https://t.co/ikCe6lFpp8 (all shades) and still available on https://t.co/zFdgQmXSS4 + https://t.co/UjfcBebbMy (select shades). https://t.co/tOPaZ62nUE,Lady Gaga,ladygaga,2022-08-05T17:08:26.000Z,Fri Aug 05 17:08:26 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://hauslabs.com http://sephora.com http://sephora.ca ,0,0,video,https://video.twimg.com/ext_tw_video/1555328950003347458/pu/vid/320x568/FOxtY-3lwmTbyqAz.mp4?tag=12,,,
1555222357882458114,"Joker: Folie à Deux
10.04.24 https://t.co/obp7T9lBFL",Lady Gaga,ladygaga,2022-08-04T16:01:19.000Z,Thu Aug 04 16:01:19 +0000 2022,234769,48299,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1555222321568182274/pu/vid/720x720/Ty5vzv4MNHe6GPQc.mp4?tag=12,,,
1553526594873999361,"It’s the way all the love makes feel. My love for you, your love for me, our love for each other. That’s real. And it’s big love. Forever love. 🖤 https://t.co/cCs7i39HSj",Lady Gaga,ladygaga,2022-07-30T23:42:58.000Z,Sat Jul 30 23:42:58 +0000 2022,28932,3763,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/wildflu0rescent/status/1553523580066988032 ,0,0,,,,,
1553521843331600384,https://t.co/0Iu8HWOgx2,Lady Gaga,ladygaga,2022-07-30T23:24:05.000Z,Sat Jul 30 23:24:05 +0000 2022,30357,3294,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1553521826021736449/pu/pl/QNtW0ia02sgsfmiO.m3u8?tag=12&container=fmp4,,,
1553519631628996608,"@tayaverberr It’s a very innovative formulation that truly zero transfer, intense pigment high-shine and also CLEAN—it removes endocrine affecting chemicals  has a unique moisture &amp; plump lock in feature. It’s like wearing vegan patent leather on your mouth. Snatched, plumped and protected 🖤",Lady Gaga,ladygaga,2022-07-30T23:15:17.000Z,Sat Jul 30 23:15:17 +0000 2022,1726,157,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1553516726280667137,"This article is the TRUTH. I developed this company in the spirit of living your passion, and that means you deserve high-performance color that doesn’t move but is still CLEAN with innovative next level formulation for YOU AND THE PLANET 🌎 🖤
https://t.co/nT325dLt6X",Lady Gaga,ladygaga,2022-07-30T23:03:45.000Z,Sat Jul 30 23:03:45 +0000 2022,12105,1376,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://apple.news/Ag_wcMGi_QLmEDSwnqx9EeA ,0,0,,,,,
1553515219871309825,https://t.co/AiV4gAEZhW,Lady Gaga,ladygaga,2022-07-30T22:57:45.000Z,Sat Jul 30 22:57:45 +0000 2022,53070,4348,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FY8x2kjX0AIXCNu.jpg,,,
1553451591516176385,"Thank you so much for this stunning review. It has so much heart, I still think about how I had to cancel here in London years ago.  Thank you for having me back and having my back too 🐾🖤 https://t.co/OARsrmNGzO",Lady Gaga,ladygaga,2022-07-30T18:44:55.000Z,Sat Jul 30 18:44:55 +0000 2022,25783,2776,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/NME/status/1553354203204141056 ,0,0,,,,,
1553156966318428160,Gaga vs. Carla bake-off. Carla wins for me 🥹🖤 https://t.co/bpBcLC9UHa,Lady Gaga,ladygaga,2022-07-29T23:14:11.000Z,Fri Jul 29 23:14:11 +0000 2022,17363,1470,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1553156832104878081/pu/pl/uy4WCkv6X7pD0BAj.m3u8?tag=12&container=fmp4,,,
